Date,Pricing_Window,Window_Number,Station_ID,Region,Product,Day_of_Week,Is_Weekend,Month_Number,Pump_Price,NPA_Price_Floor,Price_Premium,Volume_Sold,Revenue_GHS,Margin_Contribution,Comp_Min,Comp_Mean,Comp_Max,Comp_Gap,Comp_Available,Days_Since_Window_Start,Regulatory_Period,Below_Floor_Flag,Price_Imputed,Volume_Imputed,Comp_Imputed
2025-01-01,2025JanW1,9,ABF,Ashanti,AGO,Wednesday,0,1,14.95,12.82,2.13,507.63,7589.07,1081.25,13.84,14.14,14.57,0.81,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ABF,Ashanti,PMS,Wednesday,0,1,11.95,11.95,0.0,3167.420000000042,37850.67,0.0,13.21,13.44,13.7,-1.49,0.0,1,0,0,1,0,1
2025-01-01,2025JanW1,9,ABH,Greater Accra,PMS,Wednesday,0,1,14.2,11.95,2.25,3972.519999999902,56409.78,8938.17,12.96,13.11,13.19,1.09,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ABH,Greater Accra,AGO,Wednesday,0,1,14.95,12.82,2.13,2495.0100000001257,37300.4,5314.37,13.59,13.62,13.96,1.33,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ABL,Greater Accra,PMS,Wednesday,0,1,14.3,11.95,2.35,2037.2299999999814,29132.39,4787.49,12.82,12.93,13.12,1.37,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ABL,Greater Accra,AGO,Wednesday,0,1,14.95,12.82,2.13,2546.929999999935,38076.6,5424.96,13.58,13.59,14.1,1.36,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,AJF,Ashanti,PMS,Wednesday,0,1,14.35,11.95,2.4,2575.8800000000047,36963.88,6182.11,13.24,13.33,13.72,1.02,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,AJF,Ashanti,AGO,Wednesday,0,1,14.95,12.82,2.13,2503.030000000028,37420.3,5331.45,13.81,13.87,14.23,1.08,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ANJ,Western,PMS,Wednesday,0,1,14.35,11.95,2.4,3670.170000000042,52666.94,8808.41,12.56,12.83,13.09,1.52,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ANJ,Western,AGO,Wednesday,0,1,14.95,12.82,2.13,4978.459999999963,74427.98,10604.12,13.37,13.6,13.78,1.35,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ATB,Bono East,PMS,Wednesday,0,1,14.3,11.95,2.35,3367.969999999972,48161.97,7914.73,13.01,13.23,13.71,1.07,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ATB,Bono East,AGO,Wednesday,0,1,14.95,12.82,2.13,2667.530000000028,39879.57,5681.84,13.49,13.71,13.84,1.24,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ATW,Ashanti,PMS,Wednesday,0,1,14.2,11.95,2.25,2947.7600000000093,41858.19,6632.46,13.37,13.49,13.76,0.71,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,ATW,Ashanti,AGO,Wednesday,0,1,14.88,12.82,2.06,2920.4899999999907,43456.89,6016.21,13.73,14.03,14.2,0.85,0.0,1,0,0,0,0,1
2025-01-01,2025JanW1,9,BDR,Greater Accra,PMS,Wednesday,0,1,14.3,11.95,2.35,2989.8499999999767,42754.85,7026.15,13.17,13.18,13.44,1.12,0.0,1,0,0,0,0,1
